PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,PitchLocationConfidence,CatcherThrowLocationConfidence,CatcherThrowReleaseConfidence,PitchMovementConfidence
50,2023-01-17,16:36:56.94,1,4,"Valera, Denny",,Right,WOR_PR1,"Colina, Optiel",,Right,WOR_PR1,Undefined,3,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,87.62691,-3.902957,-0.329871,2412.055901,200.445639,12:45,6.49366,-0.21883,5.46549,-15.82678,21.51474,7.53693,1.51622,0.10052,79.73474,-6.904631,1.01255,0.439812,86.82005,-5.080207,-28.017131,,,,,18.00306,18.00306,-25.430269,0.129583,-3.93933,12.44012,0.24236,50,6.1396,0.409,-126.87711,-9.12593,-6.37469,27.72219,-12.04325,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,afc9f820-96a6-11ed-a773-df94705731b4,85.70118,1.52526,,7.89217,,,,2.29573,1.52526,0.01728,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:36:56.94,2023-01-17T16:36:56.9476784-04:00,2023-01-17T20:36:56.9476784Z,GroundBall,v3,,,,", ccc",,Undefined,WOR_PR1,55.0327,-127.97202,13.8611,6.49064,-8.65027,-6.02162,0.22123,0.66077,-3.18734,114.540931,2.29667,111.87567,-31.92545,,,,,,,1.52502,-11.25119,-3.9881,,,,,,,0.0176,-59.61166,-1.42675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Low,Low,,High,,,High
51,2023-01-17,16:37:18.28,2,1,"Valera, Denny",,Right,WOR_PR1,"Chacon, Anderson",,Right,WOR_PR1,Undefined,3,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.09276,-2.481751,-0.028462,2446.978136,198.079641,12:30,6.60277,-0.20757,5.45365,-14.20839,22.81033,7.01646,3.09407,0.3505,79.69154,-5.219074,1.220584,0.437907,,,,,,,,,,,,-3.51969,12.60225,0.20519,50,6.3745,-0.25251,-127.62002,-5.91253,-5.74448,28.80862,-11.60594,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,bc727a70-96a6-11ed-a773-df94705731b4,86.07402,,,8.40122,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:37:18.28,2023-01-17T16:37:18.2894256-04:00,2023-01-17T20:37:18.2894256Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.04093,-128.75292,14.40431,6.59803,-5.45612,-5.80297,0.21068,-0.02661,-2.87224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
52,2023-01-17,16:37:46.10,2,2,"Valera, Denny",,Right,WOR_PR1,"Chacon, Anderson",,Right,WOR_PR1,Undefined,3,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.45621,-3.807117,0.49531,2419.192319,210.55629,1:00,6.54004,-0.27893,5.3547,-13.45162,22.96923,12.73512,1.84319,1.24687,80.40058,-6.402767,2.757533,0.434356,,,,,,,,,,,,-6.18048,13.15461,0.22513,50,6.18833,-1.70916,-129.29955,-8.96131,-10.26584,31.69812,-10.32413,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,cd02be40-96a6-11ed-a773-df94705731b4,86.77766,,,9.05563,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:37:46.10,2023-01-17T16:37:46.1015216-04:00,2023-01-17T20:37:46.1015216Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.13919,-130.55336,15.84906,6.53472,-8.55295,-5.16207,0.2847,-1.3031,-5.13292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
53,2023-01-17,16:37:59.96,2,3,"Valera, Denny",,Right,WOR_PR1,"Chacon, Anderson",,Right,WOR_PR1,Undefined,3,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.75017,-4.171072,-1.278405,2432.07381,205.385326,12:45,6.51815,-0.51215,5.49012,-14.32442,21.24855,9.49729,1.4146,-0.91683,81.6691,-6.898906,0.413421,0.429271,,,,,,,,,,,,-5.1374,12.28095,0.61758,50,6.1429,2.46703,-129.85745,-9.8811,-8.72609,28.53342,-11.31438,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,d5535820-96a6-11ed-a773-df94705731b4,87.80571,,,8.08108,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:37:59.96,2023-01-17T16:37:59.9683760-04:00,2023-01-17T20:37:59.9683760Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.0056,-130.9527,14.26671,6.51385,-9.44679,-5.65719,0.51645,2.80198,-4.36304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
54,2023-01-17,16:38:15.89,2,4,"Valera, Denny",,Right,WOR_PR1,"Chacon, Anderson",,Right,WOR_PR1,Undefined,3,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.38978,2.934149,1.176918,2359.06244,37.441134,7:15,6.48336,-0.75729,4.71973,-61.74704,-7.05914,-6.80457,4.1251,-0.20737,66.86281,-8.184244,-0.01843,0.532252,,,,,,,,,,,,3.6687,-3.74961,0.64483,50,6.72482,-1.90757,-106.25702,3.26151,4.16352,19.45802,-36.42936,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,dee090b0-96a6-11ed-a773-df94705731b4,70.81694,,,6.52697,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:38:15.89,2023-01-17T16:38:15.8979248-04:00,2023-01-17T20:38:15.8979248Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.77937,-107.31013,9.72901,6.49494,5.23315,-18.21468,0.75416,-2.1329,2.08176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
55,2023-01-17,16:38:33.25,2,5,"Valera, Denny",,Right,WOR_PR1,"Chacon, Anderson",,Right,WOR_PR1,Undefined,3,Top,0,2,2,Curveball,Curveball,InPlay,Undefined,LineDrive,Out,1,0,,72.56558,0.371186,0.564322,2300.829457,27.608258,7:00,6.39426,-0.59719,4.89111,-64.35228,-8.76138,-5.56595,1.38271,-0.52719,66.58108,-11.184116,-0.420291,0.536628,62.87434,20.556787,-7.530876,917.174289,109.06754,18.03018,-14.29169,167.73439,153.57217,-7.828393,2.319621,2.94677,-4.00331,0.5469,50,6.37588,-0.8252,-105.24004,-1.49971,3.26618,19.80881,-36.61128,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,e93cb200-96a6-11ed-a773-df94705731b4,70.23943,19.27706,,5.9845,,,,2.78643,1.65504,0.52511,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:38:33.25,2023-01-17T16:38:33.2545712-04:00,2023-01-17T20:38:33.2545712Z,LineDrive,v3,,,,", ccc",,Undefined,WOR_PR1,55.60973,-106.29068,9.9044,6.40392,0.44212,-18.30564,0.59526,-0.99844,1.63309,173.004908,2.78645,85.59736,-9.46838,1.78354,-0.20961,-0.08867,0.07713,-0.02559,0.00331,1.65502,32.38172,-15.57093,0.79045,-0.23966,0.15494,-0.08195,0.02518,-0.00317,0.52511,-11.31607,0.74629,-0.1243,0.0071,0.01323,-0.00912,0.00292,-0.00037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,High,,,High
56,2023-01-17,16:38:55.60,3,1,"Valera, Denny",,Right,WOR_PR1,"Castro, Rayniel",,Left,WOR_PR1,Undefined,3,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,88.21879,-4.079554,-0.608308,2394.377684,195.237189,12:30,6.49158,-0.43771,5.39515,-14.14072,22.84356,5.86811,1.48339,-0.5188,80.16693,-6.780833,0.435279,0.437703,86.7093,18.785638,12.410023,1786.516353,108.03419,29.88328,20.70227,278.00833,268.62306,8.867782,3.269952,-3.14693,13.11099,0.48764,50,6.11781,1.09757,-127.6617,-9.50709,-5.15471,28.10731,-10.69811,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,f67e8e20-96a6-11ed-a773-df94705731b4,86.11414,33.5349,,8.05186,,,,1.92943,1.57296,0.51902,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:38:55.60,2023-01-17T16:38:55.6072624-04:00,2023-01-17T20:38:55.6072624Z,LineDrive,v3,,,,", ccc",,Undefined,WOR_PR1,55.10197,-128.7801,14.05366,6.48763,-9.0814,-5.34906,0.43989,1.30267,-2.57736,155.797477,1.9294,117.58718,-18.24222,3.91196,-0.69205,0.07722,0.0022,-0.00243,0.00029,1.57302,40.94969,-13.13973,-0.15582,0.09591,0.04022,-0.03175,0.00862,-0.00086,0.51892,25.87961,-8.21812,2.4434,-0.58103,0.10341,-0.0122,0.00067,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,High,,,High
57,2023-01-17,16:39:19.77,4,1,"Valera, Denny",,Right,WOR_PR1,"Almanzar, Yariel",,Right,WOR_PR1,Undefined,3,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.0245,-1.987484,-0.492145,2402.764523,201.356371,12:45,6.58987,-0.25846,5.41584,-13.64871,23.46879,8.66048,3.58983,0.0022,79.55186,-4.629856,1.048365,0.438491,,,,,,,,,,,,-4.4717,12.75327,0.29609,50,6.40419,0.70229,-127.54501,-4.78107,-7.28843,28.8156,-11.38744,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,04eba3d0-96a7-11ed-a773-df94705731b4,85.95941,,,8.47265,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:39:19.77,2023-01-17T16:39:19.7758128-04:00,2023-01-17T20:39:19.7758128Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.07846,-128.68725,14.4078,6.58477,-4.32968,-5.69372,0.26253,0.9912,-3.64422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
58,2023-01-17,16:39:36.44,4,2,"Valera, Denny",,Right,WOR_PR1,"Almanzar, Yariel",,Right,WOR_PR1,Undefined,3,Top,2,0,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.53058,-4.089834,-0.845411,2488.843584,202.780455,12:45,6.53601,-0.3655,5.29137,-11.04981,25.36671,10.0654,1.76809,-0.32057,80.46679,-6.263445,0.940534,0.434331,69.9971,66.944686,2.124979,,,,,,32.64543,,,-5.32382,14.44898,0.43472,50,6.15605,1.44723,-129.38373,-9.5141,-8.86519,31.43886,-8.11364,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,0edbbce0-96a7-11ed-a773-df94705731b4,86.78278,86.66473,,9.06379,,,,1.52379,2.25104,0.32859,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:39:36.44,2023-01-17T16:39:36.4469936-04:00,2023-01-17T20:39:36.4469936Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.20419,-130.64217,15.71943,6.53039,-9.18932,-4.05682,0.36969,1.80209,-4.4326,182.803389,1.52379,40.17686,-16.66339,5.01197,-1.18981,0.23133,-0.02133,-0.00695,0.00213,2.25104,94.46231,-22.15494,1.68819,-0.11221,-0.05082,0.03218,-0.01121,0.00188,0.32859,1.49076,1.00317,-0.83179,0.30056,-0.08611,0.02128,-0.00393,0.00037,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Low,,High,,,High
59,2023-01-17,16:40:02.69,5,1,"Valera, Denny",,Right,WOR_PR1,"Valdez, Moises",,Left,WOR_PR1,Undefined,3,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.92006,-4.92944,-0.478342,2408.95811,213.138368,1:00,6.41086,-0.21253,5.42462,-14.3465,21.64726,13.23178,0.5867,0.44208,81.01042,-7.670545,1.876495,0.431802,,,,,,,,,,,,-6.82524,12.91985,0.24537,50,5.96335,0.48503,-129.84523,-11.60777,-11.44482,31.7022,-10.50956,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,1e74a860-96a7-11ed-a773-df94705731b4,87.29095,,,8.90964,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:40:02.69,2023-01-17T16:40:02.6994864-04:00,2023-01-17T20:40:02.6994864Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.07125,-131.07755,15.8511,6.40662,-11.19924,-5.25478,0.21787,0.9299,-5.72241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
60,2023-01-17,16:40:23.03,5,2,"Valera, Denny",,Right,WOR_PR1,"Valdez, Moises",,Left,WOR_PR1,Undefined,3,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,88.69376,-3.213249,-0.592631,2387.003006,205.316928,12:45,6.49727,-0.28817,5.31588,-13.5904,23.28088,10.36985,2.34571,0.01976,80.01115,-5.835188,1.248663,0.437034,90.61716,21.061287,17.743233,1392.583125,103.43892,32.90185,37.42172,266.64262,266.17949,23.495382,3.086918,-5.40685,13.10268,0.33394,50,6.19694,0.86144,-128.36562,-7.5832,-8.89242,30.12172,-10.6247,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,2aa0f5d0-96a7-11ed-a773-df94705731b4,86.24594,35.89183,,8.68262,,,,2.09682,2.48702,0.02003,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:40:23.03,2023-01-17T16:40:23.0345904-04:00,2023-01-17T20:40:23.0345904Z,LineDrive,v3,,,,", ccc",,Undefined,WOR_PR1,55.18048,-129.57555,15.06086,6.49297,-7.15642,-5.31235,0.29217,1.21863,-4.44621,227.222507,2.09687,118.12485,-21.68486,4.89795,-1.05025,0.19189,-0.02784,0.00246,-7E-05,2.48699,47.76276,-18.66318,1.35233,-0.21214,0.04166,-0.00942,0.00204,-0.00019,0.02004,37.79709,-0.23333,-0.78532,0.33126,-0.09826,0.02232,-0.00328,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,High,,,High
61,2023-01-17,16:40:54.80,6,1,"Valera, Denny",,Right,WOR_PR1,"Colina, Optiel",,Right,WOR_PR1,Undefined,3,Top,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.68415,-2.988173,-0.551176,2380.497025,204.046433,12:45,6.55754,-0.3106,5.60748,-15.04706,22.28052,9.3254,2.5117,-0.04799,79.07011,-5.887672,1.11388,0.43973,,,,,,,,,,,,-4.86725,12.60753,0.35169,50,6.29246,0.80929,-126.94977,-7.02491,-7.82636,29.55011,-11.90154,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,3d7c3b10-96a7-11ed-a773-df94705731b4,85.7172,,,8.61404,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:40:54.80,2023-01-17T16:40:54.8015280-04:00,2023-01-17T20:40:54.8015280Z,,v3,,,,", ccc",,Undefined,WOR_PR1,54.8867,-128.0822,14.77505,6.55293,-6.56882,-5.95077,0.31493,1.10922,-3.91318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
62,2023-01-17,16:41:08.44,6,2,"Valera, Denny",,Right,WOR_PR1,"Colina, Optiel",,Right,WOR_PR1,Undefined,3,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.40507,2.888801,1.173634,2260.318737,49.718378,7:45,6.39442,-0.63877,4.46675,-57.4196,-2.71965,-5.19642,4.36639,0.04723,67.35723,-7.403297,0.26549,0.53231,,,,,,,,,,,,2.82847,-1.55858,0.52037,50,6.64363,-1.96384,-106.32877,3.28945,3.24636,17.79646,-33.96293,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,45b3f5c0-96a7-11ed-a773-df94705731b4,70.80914,,,6.04784,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:41:08.44,2023-01-17T16:41:08.4426928-04:00,2023-01-17T20:41:08.4426928Z,,v3,,,,", ccc",,Undefined,WOR_PR1,56.03208,-107.33362,8.89823,6.40375,5.20712,-16.98146,0.63643,-2.14714,1.62318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
63,2023-01-17,16:41:25.26,6,3,"Valera, Denny",,Right,WOR_PR1,"Colina, Optiel",,Right,WOR_PR1,Undefined,3,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.20049,-4.156594,-1.505234,2509.706793,205.42592,12:45,6.53757,-0.56484,5.45999,-14.41985,21.59596,9.67784,1.43713,-1.16758,81.2574,-6.900299,0.217545,0.431935,,,,,,,,,,,,-5.28622,12.42883,0.6907,50,6.16122,2.9545,-129.06423,-9.7945,-8.88088,27.86591,-11.2936,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,4fab88e0-96a7-11ed-a773-df94705731b4,87.26423,,,7.94309,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:41:25.26,2023-01-17T16:41:25.2661424-04:00,2023-01-17T20:41:25.2661424Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.03596,-130.14699,13.93295,6.53327,-9.35568,-5.6468,0.5692,3.29958,-4.44044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
64,2023-01-17,16:41:48.32,6,4,"Valera, Denny",,Right,WOR_PR1,"Colina, Optiel",,Right,WOR_PR1,Undefined,3,Top,0,2,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.73851,2.521376,0.898823,2281.826545,30.520315,7:00,6.48608,-0.73052,4.71531,-58.69019,-6.39378,-4.725,3.98987,-0.27121,68.61661,-8.025439,0.06856,0.520484,,,,,,,,,,,,2.55575,-3.3098,0.64412,50,6.68842,-1.50675,-108.35019,2.6559,3.04008,18.82096,-36.11111,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,5d7866f0-96a7-11ed-a773-df94705731b4,72.41805,,,6.12189,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:41:48.32,2023-01-17T16:41:48.3247792-04:00,2023-01-17T20:41:48.3247792Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.78462,-109.35039,9.41048,6.49628,4.57495,-18.05556,0.72848,-1.6683,1.52004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
65,2023-01-17,16:42:03.53,6,5,"Valera, Denny",,Right,WOR_PR1,"Colina, Optiel",,Right,WOR_PR1,Undefined,3,Top,0,3,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.99311,-2.482392,-1.175668,2440.757998,202.653168,12:45,6.60535,-0.30011,5.50471,-14.06387,23.35856,9.14134,3.10982,-0.638,78.78349,-5.223095,0.452851,0.440288,,,,,,,,,,,,-4.96453,12.98068,0.39657,50,6.37954,2.19767,-127.31043,-5.87272,-7.97897,31.18857,-11.31149,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,667cc070-96a7-11ed-a773-df94705731b4,85.60852,,,9.20962,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:42:03.53,2023-01-17T16:42:03.5374768-04:00,2023-01-17T20:42:03.5374768Z,,v3,,,,", ccc",,Undefined,WOR_PR1,54.988,-128.52658,15.59429,6.59994,-5.43164,-5.65574,0.30482,2.5088,-3.98949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
66,2023-01-17,16:42:24.61,6,6,"Valera, Denny",,Right,WOR_PR1,"Colina, Optiel",,Right,WOR_PR1,Undefined,3,Top,0,3,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,73.01614,1.819826,1.738554,2313.217459,30.052036,7:00,6.41338,-0.70773,4.74275,-69.55681,-14.08379,-9.27249,2.34451,0.16913,66.56845,-10.652629,0.104784,0.536059,,,,,,,,,,,,5.07796,-6.83138,0.5414,50,6.5349,-2.83641,-105.7552,0.88154,5.66626,20.51043,-39.7969,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,73176010-96a7-11ed-a773-df94705731b4,70.31401,,,6.44768,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:42:24.61,2023-01-17T16:42:24.6143664-04:00,2023-01-17T20:42:24.6143664Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.7581,-106.86611,10.25522,6.42878,3.03705,-19.89845,0.70335,-3.14331,2.83313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
67,2023-01-17,16:45:44.83,1,1,"Humbert, Josnayder",,Left,WOR_PR1,"Jimenez, Carlos",,Left,WOR_PR1,Undefined,4,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,85.36685,-2.016546,-0.561914,2256.636454,188.996448,12:15,6.61191,-0.3653,4.76052,-21.8845,18.30052,2.68398,2.8752,-0.67447,77.80422,-6.064072,-0.090009,0.456251,70.68765,31.905513,-5.88381,3289.680216,108.03583,49.62298,-20.69392,259.36294,251.32089,-17.425752,3.943103,-1.48713,9.9754,0.41913,50,6.39131,1.09063,-123.67658,-5.12939,-2.29497,25.50277,-16.7796,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,ea6cb110-96a7-11ed-a773-df94705731b4,82.61347,52.22263,,7.56263,,,,1.54303,2.91067,0.67553,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:45:44.83,2023-01-17T16:45:44.8342192-04:00,2023-01-17T20:45:44.8342192Z,FlyBall,v3,,,,", ccc",,Undefined,WOR_PR1,55.73633,-124.85384,12.75138,6.61021,-4.35481,-8.3898,0.36634,1.19657,-1.14748,135.152561,1.54419,87.51694,-11.67433,2.10722,-0.1408,-0.08334,0.02959,-0.00346,0.00011,2.91022,54.80281,-16.52458,0.84484,-0.04403,-0.06053,0.03643,-0.00793,0.0006,0.67586,-9.03061,-5.69979,1.41912,-0.27784,0.03621,-0.00402,0.00074,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,High,,,High
68,2023-01-17,16:46:10.10,2,1,"Humbert, Josnayder",,Left,WOR_PR1,"Ayena, Erickson",,Right,WOR_PR1,Undefined,4,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.31032,-2.438922,-0.968857,2411.403173,175.529884,11:45,6.45076,-0.63493,5.1068,-18.94627,20.48883,-1.48343,2.57231,-1.67146,77.48211,-6.022793,-1.231244,0.451974,,,,,,,,,,,,0.40409,11.3628,0.7274,50,6.20678,2.18012,-124.77623,-5.90153,0.62547,29.36412,-14.58589,WOR_PR1,WOR_PR1,DRRangers2,TeamExclusive,Team,20230117-DRRangers2-Private-1,f97b0fd0-96a7-11ed-a773-df94705731b4,83.39523,,,8.82821,,,,,,,e7693d0c-839b-48c7-a917-db66df881d6b,2023-01-17,20:46:10.10,2023-01-17T16:46:10.1053104-04:00,2023-01-17T20:46:10.1053104Z,,v3,,,,", ccc",,Undefined,WOR_PR1,55.38354,-126.0368,14.68206,6.44668,-5.27537,-7.29295,0.63439,2.15327,0.31274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,High,,,High
